House_Type,Family_Members,Number_of_Rooms,AC_Units,AC_Usage_Hours,Fan_Usage_Hours,Refrigerator_Usage_Hours,Washing_Machine_Usage_Hours,Water_Motor_Usage_Hours,Lighting_Hours,TV_Usage_Hours,Iron_Usage_Hours,Kitchen_Appliance_Hours,Daily_Appliance_Count,Outdoor_Temperature_C,Day_of_Week,Is_Weekend,Season,Is_Holiday,Daily_Electricity_Consumption_kWh,House_Type_enc,Day_of_Week_enc,Season_enc
Portion/Rented Unit,7,5,2,10.04,10.97,24,0.12,2.41,3.82,4.08,0.63,4.74,9,36.6,Thursday,0,Summer,1,33.35,3,4,2
Apartment,4,4,2,11.39,12.48,24,0.92,1.3,7.95,4.61,0.05,1.63,14,38.0,Tuesday,0,Summer,0,38.87,0,5,2
Portion/Rented Unit,2,3,2,1.14,7.64,24,0.04,0.84,6.07,7.12,0.16,3.34,11,12.5,Monday,0,Winter,1,14.4,3,1,3
Independent House,7,5,2,6.0,9.07,24,0.48,0.82,5.41,5.33,0.32,2.97,5,33.2,Friday,0,Monsoon,0,31.72,2,0,0
Portion/Rented Unit,3,5,1,2.67,8.52,24,1.1,2.04,8.82,5.63,0.16,0.94,6,12.3,Thursday,0,Winter,0,11.86,3,4,3
Bungalow,6,4,3,1.67,7.89,24,0.62,0.33,6.93,1.42,0.26,0.98,8,19.1,Wednesday,0,Winter,0,21.8,1,6,3
Apartment,3,5,3,1.87,7.35,24,0.6,2.05,7.13,2.25,0.16,2.59,12,8.8,Wednesday,0,Winter,0,17.75,0,6,3
Independent House,6,3,3,2.15,10.55,24,0.34,2.2,3.04,5.66,0.01,2.89,9,30.3,Friday,0,Spring,0,23.2,2,0,1
Apartment,2,5,3,3.49,14.75,24,1.09,1.68,7.49,4.59,0.71,2.62,6,31.2,Monday,0,Monsoon,0,22.49,0,1,0
Bungalow,2,5,3,0.89,7.43,24,0.85,0.97,7.09,4.0,0.68,0.75,8,25.6,Saturday,1,Spring,0,18.35,1,2,1
Apartment,6,3,3,1.14,8.92,24,1.81,1.31,4.7,4.07,0.15,2.64,10,14.1,Tuesday,0,Winter,0,16.01,0,5,3
Apartment,6,3,0,0.0,10.56,24,1.23,0.49,8.0,5.59,1.37,2.39,7,28.2,Saturday,1,Monsoon,0,9.74,0,2,0
Bungalow,4,5,0,0.0,9.71,24,1.28,1.86,6.98,5.94,0.33,3.04,9,37.7,Wednesday,0,Summer,0,19.57,1,6,2
Portion/Rented Unit,8,6,1,12.26,9.89,24,0.57,1.85,8.58,4.41,0.04,1.74,11,32.1,Tuesday,0,Monsoon,0,25.52,3,5,0
Independent House,6,1,0,0.0,16.79,24,1.89,0.74,5.4,7.15,0.08,1.95,7,42.6,Tuesday,0,Summer,0,12.35,2,5,2
Bungalow,8,1,1,5.85,10.36,24,0.53,1.77,8.23,3.46,0.08,1.35,8,29.9,Monday,0,Monsoon,0,24.78,1,1,0
Portion/Rented Unit,3,5,3,10.43,12.29,24,0.71,0.0,5.37,6.88,0.52,3.64,7,37.9,Saturday,1,Summer,0,39.55625,3,2,2
Apartment,7,2,0,0.0,15.81,24,0.41,1.21,8.4,3.94,0.37,0.3,8,28.7,Friday,0,Monsoon,0,8.3,0,0,0
Portion/Rented Unit,9,3,0,0.0,12.9,24,0.28,1.24,5.3,1.16,0.08,1.04,9,28.7,Monday,0,Monsoon,1,7.03,3,1,0
Independent House,2,3,1,1.11,6.08,24,0.67,1.11,8.8,6.59,0.16,1.77,10,12.0,Saturday,1,Winter,0,12.05,2,2,3
Independent House,8,5,1,1.53,8.57,24,1.21,2.01,8.1,6.81,0.51,2.22,13,24.1,Friday,0,Spring,1,15.16,2,0,1
Apartment,8,4,3,9.71,11.43,24,0.11,0.91,5.47,2.66,0.75,1.26,11,38.8,Wednesday,0,Summer,0,39.55625,0,6,2
Bungalow,4,3,2,0.1,6.25,24,0.03,1.15,9.59,6.46,0.49,0.0,8,12.1,Monday,0,Winter,0,11.72,1,1,3
Apartment,6,6,3,8.04,9.72,24,0.18,2.25,8.08,3.61,0.02,2.38,8,37.2,Wednesday,0,Summer,0,39.55625,0,6,2
Portion/Rented Unit,6,4,2,8.83,17.78,24,2.65,1.44,3.59,6.52,0.38,0.71,6,43.3,Saturday,1,Summer,0,29.35,3,2,2
Independent House,4,3,1,0.75,14.31,24,0.0,1.56,9.34,2.53,0.44,2.08,14,11.5,Wednesday,0,Winter,0,13.98,2,6,3
Portion/Rented Unit,9,1,0,0.0,13.43,24,0.85,1.24,9.96,6.16,0.9,0.3,12,17.8,Sunday,1,Winter,0,8.4,3,3,3
Portion/Rented Unit,6,4,1,11.5,11.51,24,1.23,2.64,5.75,5.84,0.24,1.64,12,39.2,Sunday,1,Summer,0,24.28,3,3,2
Portion/Rented Unit,9,4,1,6.02,13.39,24,0.85,1.14,4.7,6.08,0.31,3.48,11,38.2,Saturday,1,Summer,0,15.41,3,2,2
Apartment,9,4,2,3.91,12.1,24,0.04,2.58,6.41,5.48,0.06,3.61,13,37.8,Tuesday,0,Monsoon,0,24.33,0,5,0
Portion/Rented Unit,7,6,0,0.0,4.99,24,0.64,1.0,5.27,4.72,0.01,3.88,5,14.4,Thursday,0,Winter,0,10.77,3,4,3
Independent House,2,6,1,0.22,6.49,24,0.71,1.69,6.09,4.93,0.48,2.45,11,21.9,Wednesday,0,Spring,0,10.66,2,6,1
Independent House,8,3,3,12.58,16.35,24,0.78,0.47,4.33,4.33,0.21,2.95,13,46.6,Sunday,1,Summer,0,39.55625,2,3,2
Portion/Rented Unit,6,1,0,0.0,10.6,24,2.05,0.8,5.5,7.51,0.25,1.84,8,33.3,Friday,0,Monsoon,0,10.66,3,0,0
Portion/Rented Unit,8,4,2,1.38,8.04,24,1.86,1.83,4.32,0.0,0.04,1.38,5,10.4,Thursday,0,Winter,0,12.73,3,4,3
Apartment,4,3,1,8.97,18.46,24,0.07,1.44,4.95,4.72,0.52,2.71,8,35.0,Friday,0,Summer,0,23.18,0,0,2
Portion/Rented Unit,6,5,3,1.26,8.85,24,0.75,0.3,8.49,3.91,0.53,0.0,11,11.4,Sunday,1,Winter,0,10.43,3,3,3
Apartment,6,6,3,7.15,12.35,24,1.36,0.98,4.81,6.63,0.09,0.0,7,40.0,Sunday,1,Summer,0,35.64,0,3,2
Portion/Rented Unit,7,3,3,1.14,12.06,24,1.59,0.66,9.58,3.22,0.01,1.79,12,13.2,Sunday,1,Winter,1,13.82,3,3,3
Apartment,6,3,0,0.0,11.97,24,1.16,1.27,8.17,7.92,0.17,0.97,8,34.1,Sunday,1,Monsoon,0,12.94,0,3,0
Independent House,8,3,0,0.0,8.39,24,0.79,1.09,9.98,8.58,0.21,2.45,9,12.4,Sunday,1,Winter,0,14.17,2,3,3
Portion/Rented Unit,8,3,3,5.4,7.11,24,0.89,1.64,7.39,6.21,0.29,0.83,12,30.9,Monday,0,Summer,0,25.33,3,1,2
Independent House,8,4,2,4.71,12.08,24,0.29,1.18,5.79,6.16,0.35,2.09,13,48.2,Monday,0,Summer,0,26.19,2,1,2
Apartment,9,4,2,7.29,16.67,24,0.74,1.38,4.66,2.71,0.21,1.37,5,29.5,Sunday,1,Monsoon,0,28.6,0,3,0
Independent House,6,3,2,0.0,6.28,24,0.52,2.26,6.25,5.17,0.32,2.37,8,22.0,Monday,0,Spring,0,9.49,2,1,1
Portion/Rented Unit,4,2,1,2.74,10.26,24,0.06,0.15,6.27,9.84,0.05,0.07,9,27.5,Friday,0,Spring,0,7.68,3,0,1
Independent House,7,5,1,0.0,5.89,24,0.21,0.0,5.6,6.85,0.46,0.97,13,16.7,Tuesday,0,Winter,0,10.13,2,5,3
Independent House,5,3,1,9.84,10.83,24,0.9,1.14,7.65,5.05,0.08,3.67,6,43.3,Sunday,1,Summer,0,30.06,2,3,2
Independent House,3,5,2,2.05,7.85,24,1.59,1.69,8.85,2.07,0.08,1.46,6,14.6,Wednesday,0,Winter,0,14.64,2,6,3
Apartment,5,1,0,0.0,13.47,24,0.07,1.35,8.02,1.04,0.01,2.12,6,17.3,Tuesday,0,Winter,0,6.2,0,5,3
Portion/Rented Unit,5,1,1,3.4,15.63,24,0.3,1.51,6.59,4.5,0.31,2.35,5,38.7,Thursday,0,Summer,0,12.97,3,4,2
Independent House,8,4,0,0.0,13.6,24,0.52,1.13,8.43,6.05,0.2,1.46,5,30.9,Sunday,1,Monsoon,0,13.15,2,3,0
Portion/Rented Unit,6,2,0,0.0,6.53,24,0.27,1.24,4.57,4.31,0.05,2.82,8,30.4,Friday,0,Summer,0,9.77,3,0,2
Portion/Rented Unit,6,1,1,4.6,12.55,24,1.83,1.36,4.54,7.26,0.5,1.34,5,35.0,Sunday,1,Monsoon,0,13.99,3,3,0
Independent House,6,4,1,0.88,7.91,24,0.04,1.91,5.25,1.65,0.43,1.17,7,23.8,Friday,0,Spring,0,12.22,2,0,1
Portion/Rented Unit,5,2,1,1.16,8.88,24,0.94,1.14,7.89,4.82,0.3,1.77,13,19.8,Wednesday,0,Winter,0,10.6,3,6,3
Portion/Rented Unit,9,4,3,1.67,5.7,24,1.09,1.51,6.75,5.5,0.19,2.98,10,10.4,Tuesday,0,Winter,0,15.27,3,5,3
Apartment,4,5,1,8.2,15.5,24,0.94,1.38,4.45,5.81,0.3,2.18,14,40.6,Saturday,1,Summer,0,18.48,0,2,2
Apartment,3,4,0,0.0,13.17,24,0.23,1.57,5.56,4.71,0.01,1.72,6,32.8,Monday,0,Monsoon,0,8.79,0,1,0
Independent House,9,3,0,0.0,8.98,24,0.24,1.69,3.79,4.37,1.29,0.66,6,42.7,Monday,0,Summer,0,10.19,2,1,2
Portion/Rented Unit,5,1,0,0.0,14.76,24,0.96,0.47,5.93,4.93,0.2,1.28,10,32.3,Wednesday,0,Monsoon,0,9.4,3,6,0
Bungalow,5,1,0,0.0,9.58,24,0.55,1.5,4.34,6.87,0.15,2.59,8,30.2,Sunday,1,Summer,0,16.57,1,3,2
Portion/Rented Unit,8,5,3,7.06,11.32,24,0.85,0.45,7.21,3.35,0.06,0.63,5,28.9,Tuesday,0,Summer,1,33.96,3,5,2
Portion/Rented Unit,2,1,1,1.31,9.1,24,0.1,2.07,6.86,5.48,0.2,2.45,10,21.2,Tuesday,0,Spring,0,9.39,3,5,1
Apartment,7,2,1,1.5,9.23,24,0.18,0.04,3.23,4.69,0.22,2.49,7,14.1,Thursday,0,Winter,0,12.28,0,4,3
Independent House,6,2,1,1.14,7.02,24,0.74,0.57,10.75,2.46,0.91,1.28,10,8.8,Friday,0,Winter,0,16.4,2,0,3
Bungalow,3,3,1,0.28,9.92,24,0.21,1.24,11.53,6.13,0.2,2.27,14,10.9,Tuesday,0,Winter,0,12.91,1,5,3
Portion/Rented Unit,3,5,2,2.5,5.62,24,0.34,1.85,5.42,2.7,0.08,2.83,12,27.8,Tuesday,0,Monsoon,0,13.81,3,5,0
Independent House,9,5,2,1.14,15.48,24,0.64,0.36,6.59,8.74,0.07,3.01,8,35.0,Saturday,1,Monsoon,0,23.03,2,2,0
Portion/Rented Unit,4,2,0,0.0,9.88,24,0.76,0.95,3.6,6.24,0.36,1.64,11,29.2,Thursday,0,Monsoon,0,7.16,3,4,0
Bungalow,3,3,3,1.4,7.32,24,1.04,2.08,5.81,5.29,0.02,2.07,12,36.0,Monday,0,Summer,0,24.27,1,1,2
Apartment,6,3,3,0.35,12.69,24,0.32,1.95,5.15,1.8,0.28,0.58,11,21.3,Monday,0,Monsoon,0,9.52,0,1,0
Portion/Rented Unit,8,1,0,0.0,9.32,24,1.78,1.92,7.83,10.75,1.61,0.8,14,17.7,Saturday,1,Winter,0,8.22,3,2,3
Apartment,9,5,0,0.0,7.53,24,0.04,2.32,8.16,5.34,0.11,0.88,14,33.4,Friday,0,Summer,1,11.02,0,0,2
Independent House,9,8,0,0.0,12.45,24,1.33,1.47,6.33,6.15,0.43,1.71,5,23.9,Sunday,1,Spring,0,11.89,2,3,1
Portion/Rented Unit,4,5,1,0.0,12.65,24,0.74,1.68,9.14,0.95,0.01,1.65,7,25.7,Friday,0,Spring,0,8.29,3,0,1
Independent House,2,1,0,0.0,5.23,24,0.79,1.16,4.09,3.4,0.47,2.44,5,24.7,Thursday,0,Monsoon,0,11.0,2,4,0
Portion/Rented Unit,5,3,3,0.8,8.36,24,2.28,0.0,6.37,8.0,0.32,1.85,11,11.1,Saturday,1,Winter,0,12.2,3,2,3
Apartment,6,4,1,9.25,8.05,24,0.15,1.24,4.21,5.16,0.2,2.54,11,33.5,Friday,0,Monsoon,0,19.85,0,0,0
Independent House,3,4,3,0.0,7.44,24,0.21,1.09,6.5,0.39,0.53,2.27,6,8.0,Monday,0,Winter,0,9.57,2,1,3
Apartment,9,3,0,0.0,14.15,24,0.7,1.27,7.09,4.1,0.08,2.04,13,29.6,Thursday,0,Monsoon,0,9.09,0,4,0
Independent House,3,3,3,7.57,4.87,24,0.33,1.46,8.65,6.44,0.26,2.11,10,33.1,Monday,0,Summer,0,39.55625,2,1,2
Apartment,6,4,3,2.72,8.81,24,2.34,1.04,8.65,1.39,0.11,1.46,5,15.7,Wednesday,0,Winter,0,21.27,0,6,3
Apartment,3,4,1,1.74,10.17,24,0.9,1.32,5.03,5.22,0.14,2.28,13,27.8,Monday,0,Spring,0,9.71,0,1,1
Portion/Rented Unit,7,3,3,1.14,7.45,24,1.18,1.64,6.82,5.66,0.02,2.02,13,28.0,Sunday,1,Spring,0,12.87,3,3,1
Bungalow,2,3,2,2.12,7.76,24,0.02,1.74,4.67,3.07,0.51,4.44,8,11.2,Friday,0,Winter,0,24.56,1,0,3
Independent House,8,5,0,0.0,15.26,24,0.5,1.21,5.14,10.17,0.2,2.62,6,34.2,Wednesday,0,Monsoon,1,15.73,2,6,0
Portion/Rented Unit,9,4,2,1.45,7.97,24,1.1,1.03,5.68,5.1,0.24,1.94,13,28.7,Sunday,1,Spring,0,14.67,3,3,1
Bungalow,4,4,2,4.67,13.0,24,0.13,1.37,6.43,3.25,0.1,3.48,7,32.7,Thursday,0,Monsoon,0,36.84,1,4,0
Apartment,3,3,1,1.22,5.27,24,2.08,0.87,7.07,6.08,1.2,2.7,13,13.3,Saturday,1,Winter,0,12.73,0,2,3
Independent House,2,4,3,8.8,17.65,24,2.04,2.46,3.58,5.51,0.02,1.96,6,39.6,Thursday,0,Summer,0,39.55625,2,4,2
Apartment,8,2,0,0.0,7.96,24,1.11,1.3,10.41,4.69,0.43,0.62,5,15.3,Sunday,1,Winter,1,10.1,0,3,3
Bungalow,6,6,2,0.0,7.74,24,0.34,1.39,7.93,6.62,0.04,0.66,6,6.5,Wednesday,0,Winter,0,14.17,1,6,3
Portion/Rented Unit,5,2,2,0.84,11.19,24,0.48,0.85,9.14,1.34,0.37,2.97,5,27.6,Tuesday,0,Spring,0,12.37,3,5,1
Independent House,6,2,0,0.0,11.67,24,0.24,0.1,2.85,6.44,0.12,1.28,10,26.8,Monday,0,Spring,0,10.73,2,1,1
Portion/Rented Unit,8,6,0,0.0,8.87,24,0.55,1.7,1.0,0.0,1.9,3.03,12,36.4,Tuesday,0,Summer,0,7.42,3,5,2
Portion/Rented Unit,4,4,0,0.0,12.35,24,0.77,1.85,4.86,5.59,0.18,2.96,12,42.6,Sunday,1,Summer,0,10.72,3,3,2
Independent House,5,4,1,3.16,10.29,24,0.56,1.5,3.69,4.13,0.45,1.97,6,17.4,Thursday,0,Spring,0,13.23,2,4,1
Portion/Rented Unit,5,4,1,0.0,9.03,24,0.88,1.88,4.0,3.7,0.05,1.1,14,9.3,Thursday,0,Winter,0,8.76,3,4,3
Bungalow,8,3,3,1.14,13.02,24,1.0,0.83,8.93,8.89,0.06,1.88,7,12.4,Saturday,1,Winter,0,19.79,1,2,3
Independent House,3,4,2,9.54,11.26,24,1.37,0.0,9.32,5.57,0.14,2.84,8,35.8,Thursday,0,Summer,0,39.55625,2,4,2
Apartment,9,3,1,2.17,7.56,24,0.36,0.47,5.99,4.19,0.04,0.31,9,25.2,Tuesday,0,Spring,1,8.84,0,5,1
Apartment,3,6,2,0.91,6.21,24,1.8,0.89,4.84,5.38,0.26,1.45,10,11.3,Saturday,1,Winter,0,8.8,0,2,3
Independent House,9,4,0,0.0,11.72,24,0.19,0.76,5.41,3.33,0.06,3.22,6,24.7,Friday,0,Monsoon,0,13.11,2,0,0
Independent House,5,1,0,0.0,15.49,24,0.84,1.73,6.39,7.61,0.17,1.94,7,29.8,Sunday,1,Monsoon,0,10.64,2,3,0
Independent House,7,3,3,12.51,10.54,24,0.83,2.31,6.21,8.61,0.37,1.16,9,40.5,Sunday,1,Summer,0,39.55625,2,3,2
Bungalow,8,5,1,5.37,9.36,24,0.33,0.89,4.2,3.28,0.33,3.8,13,37.5,Tuesday,0,Summer,0,29.4,1,5,2
Apartment,7,5,2,6.52,6.4,24,0.27,2.04,3.69,1.43,0.68,2.64,14,40.3,Thursday,0,Summer,0,29.05,0,4,2
Portion/Rented Unit,5,3,0,0.0,9.36,24,0.69,0.25,6.1,4.03,0.1,2.99,14,38.2,Saturday,1,Summer,1,9.71,3,2,2
Independent House,6,2,1,1.36,9.67,24,2.98,1.41,8.21,6.06,0.16,2.05,8,11.3,Sunday,1,Winter,0,17.94,2,3,3
Independent House,4,3,0,0.0,6.92,24,0.37,1.72,6.68,7.27,0.35,2.85,10,37.7,Wednesday,0,Summer,0,10.62,2,6,2
Bungalow,3,3,0,0.0,15.8,24,0.13,0.44,3.02,6.86,0.49,1.74,12,28.9,Wednesday,0,Monsoon,0,12.89,1,6,0
Independent House,2,2,2,3.1,10.63,24,0.18,1.03,8.44,3.67,0.59,4.46,6,6.3,Thursday,0,Winter,0,21.83,2,4,3
Portion/Rented Unit,4,2,0,0.0,12.54,24,0.38,2.46,9.67,0.11,0.79,1.96,5,34.5,Wednesday,0,Monsoon,0,7.28,3,6,0
Apartment,5,1,1,5.66,15.51,24,1.07,1.24,2.47,4.69,0.11,3.1,5,42.8,Sunday,1,Summer,0,16.96,0,3,2
Bungalow,9,4,1,0.46,13.26,24,0.55,0.49,6.93,8.71,0.46,2.46,12,26.3,Sunday,1,Monsoon,0,21.28,1,3,0
Portion/Rented Unit,5,4,3,4.31,12.85,24,0.1,1.93,8.35,4.55,0.25,1.73,13,34.7,Wednesday,0,Monsoon,1,21.81,3,6,0
Independent House,7,5,1,6.45,16.93,24,1.6,1.24,5.41,3.29,0.03,2.74,12,28.9,Sunday,1,Monsoon,0,24.73,2,3,0
Independent House,5,4,2,0.84,9.38,24,0.4,1.98,8.14,10.64,0.98,0.79,13,21.8,Friday,0,Monsoon,0,13.43,2,0,0
Bungalow,9,7,3,1.16,13.44,24,0.93,2.03,10.19,9.61,0.03,2.97,9,8.5,Sunday,1,Winter,0,28.6,1,3,3
Portion/Rented Unit,5,3,3,1.31,10.35,24,1.12,1.62,7.12,4.92,0.08,2.74,13,16.7,Monday,0,Winter,0,13.99,3,1,3
Bungalow,5,2,2,8.29,15.69,24,2.91,0.86,4.87,10.58,0.16,2.59,7,44.2,Sunday,1,Summer,0,39.55625,1,3,2
Apartment,6,2,0,0.0,7.45,24,0.27,1.08,6.66,4.23,0.01,1.11,12,14.3,Monday,0,Winter,0,9.99,0,1,3
Portion/Rented Unit,7,4,2,1.14,9.78,24,1.33,1.64,5.26,4.35,0.05,2.91,5,23.5,Sunday,1,Spring,0,8.7,3,3,1
Independent House,3,5,2,0.85,6.46,24,1.2,1.31,8.29,4.26,0.15,2.31,6,8.5,Saturday,1,Winter,0,13.29,2,2,3
Independent House,8,4,0,0.0,10.49,24,0.18,1.52,3.37,3.71,0.65,2.86,13,32.6,Monday,0,Monsoon,0,10.47,2,1,0
Portion/Rented Unit,3,4,2,0.8,8.98,24,3.31,0.58,5.56,4.6,0.15,1.74,9,26.3,Wednesday,0,Spring,0,9.02,3,6,1
Portion/Rented Unit,6,4,0,0.0,13.27,24,0.11,1.55,7.78,5.79,0.02,2.75,11,38.4,Friday,0,Summer,0,10.41,3,0,2
Bungalow,2,6,0,0.0,7.8,24,1.75,1.62,6.44,4.97,0.34,1.99,8,9.4,Sunday,1,Winter,0,14.58,1,3,3
Portion/Rented Unit,8,6,3,0.38,3.85,24,1.54,2.42,10.95,9.45,0.07,0.78,5,2.5,Thursday,0,Winter,0,11.91,3,4,3
Portion/Rented Unit,6,2,0,0.0,7.18,24,0.26,0.33,4.92,7.63,0.05,1.06,14,45.0,Wednesday,0,Summer,0,7.56,3,6,2
Bungalow,7,4,1,14.83,15.48,24,1.53,1.0,6.89,0.95,0.44,1.3,14,36.1,Friday,0,Summer,0,39.55625,1,0,2
Apartment,4,3,3,1.03,12.34,24,1.4,1.5,5.11,6.49,0.18,3.01,6,28.7,Saturday,1,Spring,0,16.79,0,2,1
Apartment,8,3,0,0.0,11.2,24,0.08,1.35,7.56,2.21,0.28,1.04,6,22.3,Tuesday,0,Spring,0,9.38,0,5,1
Portion/Rented Unit,9,2,2,0.64,12.41,24,0.55,1.15,7.1,8.52,0.24,3.12,6,23.5,Sunday,1,Spring,0,12.05,3,3,1
Apartment,5,4,0,0.0,2.77,24,1.47,1.55,4.08,3.89,0.33,1.26,11,23.3,Monday,0,Spring,0,11.78,0,1,1
Apartment,8,7,0,0.0,5.28,24,2.0,1.31,9.25,5.65,0.64,0.53,9,21.9,Friday,0,Spring,0,11.57,0,0,1
Independent House,6,5,3,6.9,12.16,24,0.62,2.22,2.2,4.16,0.25,2.75,13,33.2,Friday,0,Summer,0,39.55625,2,0,2
Apartment,4,3,0,0.0,19.29,24,0.69,1.42,11.07,5.68,0.06,1.73,14,42.9,Saturday,1,Summer,0,8.71,0,2,2
Bungalow,9,2,1,0.01,8.36,24,1.78,0.21,4.86,5.68,0.15,1.94,7,24.4,Tuesday,0,Monsoon,0,15.45,1,5,0
Independent House,8,5,2,1.14,6.48,24,4.0,1.24,4.99,3.53,0.02,2.65,12,41.3,Saturday,1,Summer,0,39.55625,2,2,2
Bungalow,8,3,3,6.61,12.96,24,0.4,0.83,6.02,3.76,0.05,3.06,10,32.1,Tuesday,0,Summer,0,39.55625,1,5,2
Apartment,7,4,0,0.0,9.57,24,0.1,0.29,4.62,2.65,0.49,1.63,7,31.3,Tuesday,0,Monsoon,0,5.01,0,5,0
Independent House,2,3,1,2.24,12.06,24,0.32,1.26,5.36,5.25,0.08,1.92,5,33.6,Tuesday,0,Monsoon,0,10.77,2,5,0
Independent House,5,4,2,7.93,11.24,24,2.85,0.66,3.99,5.45,0.18,2.16,10,40.8,Saturday,1,Summer,0,32.6,2,2,2
Portion/Rented Unit,9,1,0,0.0,4.86,24,3.97,1.81,9.5,4.92,0.23,1.83,9,17.6,Thursday,0,Winter,0,9.69,3,4,3
Portion/Rented Unit,9,5,1,5.97,13.59,24,0.7,1.0,3.68,1.81,0.16,2.61,5,36.8,Wednesday,0,Summer,0,15.55,3,6,2
Apartment,7,3,1,7.39,10.17,24,0.25,0.0,6.87,4.48,0.16,2.03,9,40.8,Thursday,0,Summer,0,19.38,0,4,2
Bungalow,3,2,1,7.78,11.02,24,1.13,0.71,7.34,5.49,0.13,4.24,7,32.8,Monday,0,Monsoon,0,31.34,1,1,0
Bungalow,4,2,1,6.38,9.94,24,3.11,0.84,2.65,5.28,0.5,2.03,9,30.2,Sunday,1,Monsoon,0,29.06,1,3,0
Independent House,8,3,0,0.0,7.52,24,0.12,2.18,3.04,6.53,1.03,1.74,8,13.1,Wednesday,0,Winter,1,12.61,2,6,3
Apartment,2,6,2,0.0,6.01,24,0.62,1.89,6.59,3.92,0.05,3.96,6,24.9,Thursday,0,Spring,0,10.09,0,4,1
Portion/Rented Unit,3,5,3,6.6,15.26,24,1.33,0.57,1.47,7.25,0.08,2.56,13,37.7,Saturday,1,Summer,0,31.23,3,2,2
Portion/Rented Unit,4,6,2,0.84,9.37,24,1.57,1.24,7.33,8.06,0.04,3.09,13,9.2,Saturday,1,Winter,0,11.37,3,2,3
Bungalow,7,8,2,7.93,12.53,24,1.1,2.07,3.19,5.43,0.38,0.93,9,41.6,Saturday,1,Summer,1,39.55625,1,2,2
Apartment,9,3,2,6.51,14.82,24,1.15,0.0,5.92,4.03,0.19,2.72,8,45.2,Wednesday,0,Summer,0,28.18,0,6,2
Independent House,8,3,2,10.74,15.72,24,0.47,1.27,5.35,4.98,0.53,2.76,8,42.4,Monday,0,Summer,0,39.55625,2,1,2
Independent House,8,4,2,0.39,9.53,24,1.21,1.77,4.2,3.57,0.8,2.76,10,39.9,Saturday,1,Summer,0,15.85,2,2,2
Independent House,3,4,0,0.0,8.82,24,0.37,0.09,8.73,5.03,0.35,4.67,14,34.2,Wednesday,0,Monsoon,0,10.19,2,6,0
Bungalow,5,4,0,0.0,8.42,24,0.16,0.86,9.35,4.36,0.18,1.36,11,30.0,Friday,0,Monsoon,1,11.88,1,0,0
Bungalow,2,3,2,1.14,4.74,24,2.02,0.92,6.23,2.34,0.88,2.32,5,29.8,Friday,0,Summer,0,39.55625,1,0,2
Portion/Rented Unit,9,5,2,1.25,10.24,24,0.17,0.38,9.19,3.98,0.08,2.28,5,23.6,Wednesday,0,Spring,0,8.83,3,6,1
Portion/Rented Unit,6,2,2,7.1,6.96,24,0.95,1.73,6.23,7.57,0.04,3.16,13,35.6,Thursday,0,Summer,0,28.12,3,4,2
Independent House,9,4,0,0.0,17.53,24,0.72,1.07,3.69,4.03,0.42,1.03,6,28.9,Thursday,0,Monsoon,0,11.97,2,4,0
Independent House,3,1,0,0.0,8.71,24,0.18,1.78,4.51,7.81,0.03,0.56,12,32.4,Wednesday,0,Monsoon,0,8.2,2,6,0
Apartment,9,4,2,1.11,14.65,24,0.82,1.19,8.06,6.19,0.07,1.19,5,31.8,Friday,0,Spring,0,15.32,0,0,1
Independent House,5,4,1,0.7,11.28,24,0.99,1.66,8.97,3.27,0.11,3.35,9,24.6,Sunday,1,Spring,0,13.79,2,3,1
Independent House,4,1,1,1.27,8.07,24,0.01,0.97,6.77,0.57,0.38,2.11,14,24.4,Monday,0,Spring,0,14.35,2,1,1
Independent House,3,3,0,0.0,11.37,24,1.12,2.11,2.68,5.72,0.25,3.3,5,30.3,Monday,0,Monsoon,0,12.91,2,1,0
Apartment,4,3,3,8.48,15.62,24,0.97,1.12,8.39,3.7,0.04,2.72,14,32.5,Friday,0,Summer,0,39.55625,0,0,2
Portion/Rented Unit,9,7,2,5.8,15.5,24,1.28,2.19,4.96,8.73,0.15,2.2,12,44.1,Thursday,0,Summer,0,22.13,3,4,2
Apartment,3,5,2,10.43,9.01,24,0.63,1.1,5.16,4.56,0.32,3.45,5,42.5,Sunday,1,Summer,1,37.57,0,3,2
Portion/Rented Unit,2,4,1,8.79,8.65,24,1.08,1.79,7.45,4.36,0.04,2.36,8,30.0,Saturday,1,Monsoon,0,19.75,3,2,0
Apartment,5,3,1,4.84,14.6,24,1.01,0.4,6.39,6.98,0.03,2.17,11,33.8,Saturday,1,Summer,0,16.46,0,2,2
Portion/Rented Unit,5,3,0,1.14,8.16,24,0.18,1.0,8.55,3.42,0.59,2.01,13,26.8,Tuesday,0,Monsoon,0,7.69,3,5,0
Apartment,6,2,1,8.64,14.08,24,0.14,1.29,5.69,2.5,0.34,1.79,6,35.8,Tuesday,0,Summer,0,20.0,0,5,2
Independent House,6,4,3,9.1,7.09,24,0.81,1.13,5.44,4.98,0.74,2.76,7,28.9,Sunday,1,Monsoon,0,39.55625,2,3,0
Apartment,2,6,0,1.14,9.2,24,0.19,1.31,6.07,3.86,1.56,3.13,9,8.5,Thursday,0,Winter,0,35.16357324428642,0,4,3
Apartment,8,3,1,0.0,10.91,24,0.5,0.85,3.99,9.15,0.02,2.66,6,13.0,Saturday,1,Winter,0,11.15,0,2,3
